,City_ID,Country,Lat,Lng,Hotel Name
157,Vestmanna,FO,62.16,-7.17,Budget Guesthouse Borgustova
158,Veraval,FR,49.65,0.71,Le Manoir aux Vaches
159,Svetlaya,RU,46.54,138.33,
160,Padang,ID,-0.92,100.36,Mercure Padang
161,Dickinson,US,46.88,-102.79,Ramada by Wyndham Grand Dakota Hotel Dickinson
162,Nelson Bay,AU,-32.72,152.14,Mantra Nelson Bay
163,Arman,RU,59.7,150.17,
165,Springdale,US,36.19,-94.13,Springdale Inn
166,Ostrovnoy,RU,68.05,39.51,
167,Hokitika,NZ,-42.72,170.96,Beachfront Hotel Hokitika
168,Nishihara,JP,35.74,139.53,Citytel Musashisakai
169,Gigmoto,PH,13.78,124.39,Cj's Travellers Inn
170,Krutinka,RU,56.01,71.51,Hotel Pearl Ica
171,Varhaug,NO,58.61,5.65,Dancenter Gurihuset
172,Chara,GR,39.42,22.43,
173,Nova Olimpia,BR,-14.8,-57.29,Hotel Olímpia
174,Sungaipenuh,ID,-2.08,101.38,Hotel Jaya Wisata 2
175,Omboue,GA,-1.57,9.26,Hotel Olako
176,Kerouane,GN,12.23,-12.34,
177,Lebu,ET,8.96,38.73,Dah-Lak Guest House
178,Chuy,UY,-33.69,-53.46,Nuevo Hotel Plaza
179,Wanning,AT,48.64,13.53,Hotel Zur Post
180,Mana,NG,13.03,5.27,RG Palace
181,Anloga,GH,5.79,0.9,BeatzWave Studios
182,Abu Kamal,SY,34.45,40.92,
183,La Ronge,CA,55.1,-105.3,Northland Motor Hotel
184,Patacamaya,BO,-17.23,-67.92,GARAJE EVA LA TRAILERA
185,Ribeira Grande,PT,38.52,-28.7,Quinta da Meia Eira
186,Souillac,FR,45.6,-0.6,Jolysable
187,Maniitsoq,GL,65.42,-52.9,Hotel Heilmann Lyberth
188,Buraydah,SA,26.33,43.97,Mövenpick Hotel Qassim
189,Pisco,PE,-13.71,-76.2,Hostal San Isidro Oficial
190,Baykit,RU,61.68,96.39,Gostinitsa
191,Angoram,PG,-4.06,144.07,
192,Tuktoyaktuk,CA,69.44,-133.03,End of The Road Ltd.
193,Grindavik,IS,63.84,-22.43,Northern Light Inn & Max's Restaurant
194,Bluff,AU,-23.58,149.07,Bluff Hotel
195,Mahebourg,MU,-20.41,57.7,Shandrani Beachcomber Resort & Spa
196,Egvekinot,RU,66.32,-179.17,
197,Opunake,NZ,-39.45,173.86,The Lighthouse
198,Paita,PE,-5.09,-81.11,Hotel Náutico de Paita
199,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
200,Shimoda,JP,34.7,138.93,Shimoda Tokyu Hotel
201,Kyaikkami,MM,16.08,97.57,Happy Family Kyaikkami
202,Grand Gaube,MU,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
203,Auki,NG,12.18,6.51,
204,Ankang,CN,32.73,108.99,Home Inn Hotel
205,Beira,ES,43.2,-8.36,Costa Da Egoa
206,Tongling,CN,30.93,117.81,Huoxian Hotel
207,Itarema,BR,-2.92,-39.92,Windvillage
208,Cacahoatan,MX,14.98,-92.17,Luna Maya Hostel & Wellness
209,Port Lincoln,AU,-34.72,135.86,Port Lincoln Hotel
210,Surt,LY,31.21,16.59,City Hotel
211,Carnarvon,ZA,-30.97,22.13,Maritza Bed & Breakfast
212,Ekhabi,RU,53.51,142.97,
213,Adrar,DZ,27.87,-0.29,s.e.t.setif entenne d'adrar
214,Anadyr,RU,64.73,177.51,"Гостиница ""Анадырь"""
215,Sioux Lookout,CA,50.1,-91.92,Knobby's Fly-In Camps
216,Mazatlan,MX,23.22,-106.42,Ramada Resort Mazatlan
217,Myaundzha,RU,63.05,147.18,
218,Kankon,IN,15.02,74.02,Palolem Beach Resort
219,Lata,IN,30.78,78.62,"The Goat Village, Dayara Bugyal"
220,Kavaratti,IN,10.57,72.64,Hotels in Lakshadweep Islands
221,Kuldur,RU,49.22,131.63,
222,Coffs Harbour,AU,-30.3,153.13,Aquajet Motel
223,Port Pirie,AU,-33.18,138.01,John Pirie Motor Inn
224,Kavieng,PG,-2.57,150.8,Nusa Island Retreat
225,Moose Factory,CA,51.26,-80.61,Cree Village Eco Lodge
226,Akdepe,TM,42.05,59.39,Мой дом
227,Sohbatpur,PK,28.52,68.54,قادری ہوٹل
228,Poso,ID,-1.4,120.75,Hotel 77 Poso
229,San Antonio,CL,-33.58,-71.61,Hotel Mellati
230,Svetlogorsk,RU,53.14,59.15,
231,Hadejia,NG,12.45,10.04,Women Centre
232,Salinopolis,BR,-0.61,-47.36,Hotel Salinópolis
233,Povrly,CZ,50.67,14.16,Hotel Český Lev
234,Upernavik,GL,72.79,-56.15,Gina's Guesthouse - Upernavik
235,Ozernovskiy,RU,51.5,156.52,
236,Goksun,TR,38.02,36.5,Tuğçe Otel
237,Babstovo,RU,48.12,132.48,
238,Vestmannaeyjar,IS,63.44,-20.27,Glamping & Camping
239,Mount Isa,AU,-20.73,139.49,ibis Styles Mt Isa Verona
240,Yamada,JP,36.58,137.08,Yamada Onsen Genenro
241,Deqing,CN,30.54,119.97,Narada Boutique Hotel Huzhou Deqing
242,Kruisfontein,ZA,-34.0,24.73,Oyster Bay House Rental
243,Khandbari,NP,27.38,87.21,Laxmi Hotel And Khajaghar
244,Kelowna,CA,49.89,-119.5,Delta Hotels by Marriott Grand Okanagan Resort
245,Kudahuvadhoo,MV,2.67,72.89,Kudahuvadhoo Retreat
246,Mikhaylovka,RU,52.96,103.29,
247,Mamit,IN,23.92,92.49,"DC Rest House, Mamit"
248,Narasingapuram,IN,11.61,78.57,ARS
249,Oranjemund,ZA,-28.55,16.43,Sperrgebiet Guest House
250,Cayenne,GF,4.94,-52.33,Hôtel Le Dronmi
251,Vardo,US,39.62,-77.74,Holiday Inn Express & Suites Hagerstown
252,Sorland,NO,67.67,12.69,Sjybrygga fiskecamp
253,Port Moresby,PG,-9.47,147.16,Lamana Hotel
254,Pangnirtung,CA,66.15,-65.72,Kilabuk Lodge
255,Shenjiamen,CN,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
256,College,US,64.86,-147.8,Pike's Waterfront Lodge
257,Maloyaroslavets,RU,55.01,36.47,FOREST hotel
258,Maragogi,BR,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
259,Dudinka,RU,69.41,86.18,Hotel Viktoria
260,Ponta do Sol,BR,-20.63,-46.0,Hotel Escarpas do Lago
261,Newport,GB,51.59,-3.0,Hotel ibis budget Newport
262,Sao Filipe,CV,14.9,-24.5,Tortuga B&B
263,Saldanha,PT,41.42,-6.55,
264,Coahuayana,MX,18.62,-100.35,
265,Moron,HT,18.56,-74.26,
266,Sinnamary,GF,5.38,-52.96,ALETHEIA Appartement Sinnamary
267,Apricena,IT,41.78,15.44,Bed & Breakfast CORSO ROMA
268,Berlevag,NO,70.86,29.09,Kvitbrakka
269,Moroto,UG,2.53,34.66,"Kara-Tunga, Karamoja Safari Camp"
270,Glace Bay,CA,46.2,-59.96,Cedarwoods Bed & Breakfast
271,Cody,US,44.53,-109.06,Buffalo Bill (Cabins) Village
272,Aurada,IN,18.25,77.42,बसवराज
273,Zhigansk,RU,66.77,123.37,Gostinichnyy Kompleks Aylgy
274,Skjervoy,NO,70.03,20.97,Skjervøy Byggeservice AS
275,Pacific Grove,US,36.62,-121.92,Lovers Point Inn
276,Qaqortoq,GL,60.72,-46.03,Hotel Qaqortoq
277,Bathsheba,BB,13.22,-59.52,Atlantis Hotel
278,Leh,IN,34.16,77.58,Hotel Ladakh Greens
279,San Andres,PH,13.32,122.68,El Fresco Lodge
280,Lompoc,US,34.64,-120.46,Holiday Inn Express Lompoc
281,Zahirabad,IN,17.68,77.61,Milan Hotel
282,Mount Darwin,ZW,-16.77,31.58,
283,Husavik,CA,50.56,-96.99,Idle Wheels RV Park
284,Kieta,PG,-6.22,155.63,
285,Hamilton,CA,43.26,-79.87,Sheraton Hamilton Hotel
286,Fereydun Kenar,IR,36.69,52.52,Tourist Hotel
287,Kizilskoye,RU,52.73,58.89,Motel Region
288,Tautira,PF,-17.73,-149.15,Pension Oaoa
289,Amahai,ID,-3.31,129.0,Penginapan Madina
290,Lagoa,PT,37.14,-8.45,Agua Hotels Vale Da Lapa Lagoa
291,Hasaki,JP,35.73,140.83,Inubosaki Kanko Hotel
292,Banjar,ID,-7.37,108.54,Mandiri
293,Rawson,AR,-43.3,-65.11,Hospedaje Sampedro
294,Karatau,KZ,43.18,70.46,Gor.bol'nitsa
295,Takoradi,GH,4.89,-1.75,Raybow International Hotel
296,Victor Harbor,AU,-35.55,138.62,McCracken Country Club
297,Cao Bang,VN,22.67,106.25,khách sạn 88
298,Menongue,AO,-14.66,17.68,Ritz Lauca
299,Yulara,AU,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
300,Iqaluit,CA,63.75,-68.52,Frobisher Inn
301,Neka,IR,36.65,53.3,برق خودرو کولر مجید
302,Constitucion,MX,23.99,-104.67,Hotel Posada San Agustin
303,Plettenberg Bay,ZA,-34.05,23.37,Thanda Vista B&B
304,Acapulco,MX,16.86,-99.88,Crowne Plaza Acapulco
305,Chunskiy,RU,56.08,99.63,Odisseya
306,Kaitangata,NZ,-46.28,169.85,Kaitangata Motor Camp
307,Port Blair,IN,11.67,92.75,Fortune Resort Bay Island
308,Richards Bay,ZA,-28.77,32.06,BON Hotel Waterfront Richards Bay
309,Frontera,MX,18.53,-92.64,Peninsula Frontera
310,Marzuq,YE,14.4,46.47,
311,Laguna,BZ,16.17,-88.94,Laguna Maya Lodge
312,Tadine,NC,-21.55,167.88,
313,Kodiak,US,39.95,-94.76,
314,Codrington,AU,-28.95,153.24,
315,Rondonopolis,BR,-16.46,-54.64,Serras Hotel
316,Gizo,IL,31.8,34.94,בקתות לשקיעה
317,Maldonado,UY,-34.91,-54.96,Joan Miro Hotel
318,Okhotsk,RU,59.36,143.24,Gostinitsa V Okhotske
319,Carson City,US,39.16,-119.77,Courtyard by Marriott Carson City
320,Cidreira,BR,-30.17,-50.22,Pond Country Club
321,Burns Lake,CA,54.23,-125.76,Burns Lake Bed and Breakfast
322,Uthal,PK,25.81,66.62,MA ROONJHA General store
323,Valparaiso,US,41.47,-87.06,Hampton Inn & Suites Valparaiso
324,Foumban,CM,5.73,10.9,Hotel Pekassa De Karche
325,Ossora,RU,59.24,163.07,
326,La Asuncion,AR,-26.05,-65.39,LA ASUNCION
327,Kahului,US,20.89,-156.47,Maui Seaside Hotel
328,Farafangana,MG,-22.82,47.83,Austral Hotel
